Date,Close,High,Low,Open,Volume,Log_Return
2015-01-05,168.00376892089844,170.21083296775836,167.69561616562544,170.0442642543237,169632600,-1.822506031279314
2015-01-06,166.42138671875,168.83666540976597,165.6218389120989,168.31196176451428,209151400,-0.9463367122204858
2015-01-07,168.49520874023438,168.83668298008934,167.30422995861,167.7539669096419,125346700,1.2384268529701536
2015-01-08,171.48507690429688,171.70162763754502,169.8943313096449,169.91097928268218,147217800,1.7588933072580026
2015-01-09,170.1109161376953,171.91821296284297,169.49459783958483,171.90155227684542,158567300,-0.8045575517181547
2015-01-12,168.77830505371094,170.4023848220276,168.17032358170837,170.24414010955556,144396100,-0.7864622828938295
2015-01-13,168.30357360839844,171.1352794567756,166.99598334284468,170.00259457574947,214553300,-0.28167148057240965
2015-01-14,167.28753662109375,167.4874267316431,165.3803010612415,166.2797747877634,192991100,-0.6055226499231736
2015-01-15,165.7550506591797,168.24528265661644,165.63845129516972,167.9288059305194,176613900,-0.9203007883268555
2015-01-16,167.92884826660156,168.0870930237335,165.36364890329924,165.5468783369909,211879600,1.3029267319462967
2015-01-20,168.2869415283203,168.83662973497127,166.71284363354977,168.5701096196089,130991100,0.21301402729543284
2015-01-21,169.13650512695312,169.61956343790112,167.3541926664674,167.8205902885187,122942700,0.503560379264556
2015-01-22,171.65174865722656,171.78499605354645,168.5118757477221,169.89442074015338,174356000,1.4761595658266735
2015-01-23,170.7105712890625,171.6517030544697,170.5773112197628,171.3935069045591,117516800,-0.5498150259445111
2015-01-26,171.11038208007812,171.20199681235306,169.77781917507716,170.494076343304,92009700,0.23393005572041048
2015-01-27,168.85336303710938,170.00269658085602,168.0205063809878,169.04491650966983,134044600,-1.3278193552229034
2015-01-28,166.68788146972656,170.144230489547,166.49632805368034,170.04429178698032,168514300,-1.2907573467271227
2015-01-29,168.2287139892578,168.48689750925283,165.4719478898821,166.88781431682065,173585400,0.9201355869590699
2015-01-30,166.1131591796875,168.3785289598678,165.8466518158656,167.04596672400535,197729700,-1.2655208419113606
2015-02-02,168.17037963867188,168.26199436020048,164.7889843486941,166.61294208106668,163107000,1.2308392079381392
2015-02-03,170.602294921875,170.610631618896,168.6950594358642,169.0698422588014,124212900,1.435745702790836
2015-02-04,169.9526824951172,171.05205909194265,169.4946089131066,169.83608310227638,134306700,-0.3815026986712766
2015-02-05,171.6684112548828,171.81833206253367,170.54406238523003,170.6190164348634,97953200,1.0044714550828893
2015-02-06,171.19361877441406,172.60114798573244,170.6689152271849,172.034799080911,125672000,-0.27695850947599965
2015-02-09,170.42735290527344,171.2685330164086,170.01924882905638,170.54395225442462,87219000,-0.44860662414887287
2015-02-10,172.24298095703125,172.50116433410162,170.4689932639812,171.46843082582018,96164200,1.0597036645035196
2015-02-11,172.34298706054688,172.77607599290178,171.42685254825093,172.07647959259256,91087800,0.05804421282666894
2015-02-12,174.00033569335938,174.0586417340535,172.37626845916006,173.1424947258495,97545900,0.9570626454005193
2015-02-13,174.71665954589844,174.7666289094193,173.86714224089354,174.12533846639033,93670400,0.41083449895324975
2015-02-17,174.99147033691406,175.16637578422018,174.1502898920518,174.40013666194488,76968200,0.1571658329335257
2015-02-18,175.0081329345703,175.08308696635635,174.35016921098767,174.61668937962395,80652900,0.00952149517496892
2015-02-19,174.88319396972656,175.24965284139665,174.26688832953678,174.40847240115826,91462500,-0.07141587147039274
2015-02-20,175.93263244628906,176.00758649014386,173.84215425063974,174.46679669952943,140896400,0.5982863530641147
2015-02-23,175.90760803222656,175.90760803222656,175.2996137026009,175.68273324307214,74411100,-0.014224873238255498
2015-02-24,176.4072723388672,176.60716240488594,175.53277077405394,175.8325995188934,72472300,0.28364662946964714
2015-02-25,176.25746154785156,176.76550462606602,175.91598726234682,176.2824462313388,73061700,-0.08495933141698941
2015-02-26,176.04917907714844,176.3240231972597,175.44118479248743,176.165778457646,72697900,-0.11823932390226943
2015-02-27,175.44955444335938,176.21578090317215,175.3995850863862,175.94926072147288,108076000,-0.3411820062308557
2015-03-02,176.55722045898438,176.6155137945485,175.49948934663735,175.54945869380066,87491400,0.6293456550253929
2015-03-03,175.83265686035156,176.60721999893983,174.96649170855645,176.1241617131455,110325800,-0.4112289633465771
2015-03-04,175.0914306640625,175.30798150254947,174.1169900160188,175.23301475394413,114497200,-0.4224431009186347
2015-03-05,175.28297424316406,175.56614238645068,174.77493129979416,175.41622161693482,76873000,0.10933652430118457
2015-03-06,172.81768798828125,174.84985946109856,172.48455054057112,174.41677061237215,188128000,-1.416445149411416
2015-03-09,173.533935546875,173.89205764836316,172.85932399132506,173.01756871835596,89818900,0.41359620163143873
2015-03-10,170.7189178466797,172.24304673128736,170.67727248097057,172.15976870825048,157121300,-1.6354725418924687
